Date	Station_Volumn
2019-09-15	5962 
2019-09-16	6012 
2019-09-17	6163 
2019-09-18	6110 
2019-09-19	6528 
2019-09-20	5866 
2019-09-21	5408 
2019-09-22	10981 
2019-09-23	6216 
2019-09-24	7155 
2019-09-25	7202 
2019-09-26	6463 
2019-09-27	5785 
2019-09-28	4667 
2019-09-29	7811 
2019-09-30	1115 
2019-10-01	6181 
2019-10-02	7168 
2019-10-03	7253 
2019-10-04	7567 
2019-10-05	9186 
2019-10-06	10033 
2019-10-07	7566 
2019-10-08	8068 
2019-10-09	7074 
2019-10-10	18102 
2019-10-11	23873 
2019-10-12	17660 
2019-10-13	11366 
2019-10-14	6275 
2019-10-15	6434 
2019-10-16	6275 
2019-10-17	6796 
2019-10-18	8252 
2019-10-19	10654 
2019-10-20	11854 
2019-10-21	6296 
2019-10-22	7893 
2019-10-23	7798 
2019-10-24	7631 
2019-10-25	8299 
2019-10-26	12865 
2019-10-27	12089 
2019-10-28	6380 
2019-10-29	7036 
2019-10-30	6832 
2019-10-31	5994 
2019-11-01	7455 
2019-11-02	11814 
2019-11-03	8846 
2019-11-04	5930 
2019-11-05	6603 
2019-11-06	7746 
2019-11-07	7419 
2019-11-08	8250 
2019-11-09	14056 
2019-11-10	13740 
2019-11-11	7180 
2019-11-12	8159 
2019-11-13	7999 
2019-11-14	7154 
2019-11-15	8335 
2019-11-16	16392 
2019-11-17	14704 
2019-11-18	5803 
2019-11-19	6580 
2019-11-20	6313 
2019-11-21	7033 
2019-11-22	6721 
2019-11-23	11183 
2019-11-24	12424 
2019-11-25	6265 
2019-11-26	7523 
2019-11-27	7694 
2019-11-28	6927 
2019-11-29	7931 
2019-11-30	11642 
2019-12-01	12267 
2019-12-02	6396 
2019-12-03	7683 
2019-12-04	6809 
2019-12-05	5561 
2019-12-06	5658 
2019-12-07	7328 
2019-12-08	12467 
2019-12-09	7019 
2019-12-10	7899 
2019-12-11	7546 
2019-12-12	8090 
2019-12-13	8604 
2019-12-14	13353 
2019-12-15	14460 
2019-12-16	7861 
2019-12-17	8828 
2019-12-18	7093 
2019-12-19	7466 
2019-12-20	7459 
2019-12-21	10137 
2019-12-22	11080 
2019-12-23	7379 
2019-12-24	9704 
2019-12-25	10403 
2019-12-26	8867 
2019-12-27	8601 
2019-12-28	12750 
2019-12-29	5792 
2019-12-30	6244 
2019-12-31	11015 
