oid,town_na,road_na,site,x,y,CDate,lon,lat
116,新莊區,思源路,人行道,296379.221521,2771528.04486,2013-09-03 16:06:32.65,121.4596607,25.05120615
117,新莊區,思源路,人行道,296379.221521,2771521.411384,2013-09-03 16:06:32.65,121.4596605,25.05114626
118,新莊區,思源路,人行道,296379.489033,2771513.510875,2013-09-03 16:06:32.65,121.4596629,25.05107493
119,新莊區,思源路,人行道,296379.083712,2771506.326162,2013-09-03 16:06:32.65,121.4596586,25.05101008
120,新莊區,思源路,人行道,296380.200698,2771569.945085,2013-09-03 16:06:32.65,121.4596718,25.0515844
121,新莊區,思源路,中央分隔島,296390.202465,2771538.092757,2013-09-03 16:06:32.65,121.4597699,25.05129652
122,新莊區,思源路,中央分隔島,296392.668437,2771534.211407,2013-09-03 16:06:32.65,121.4597942,25.05126141
123,新莊區,思源路,中央分隔島,296390.158691,2771530.45976,2013-09-03 16:06:32.65,121.4597692,25.05122761
124,新莊區,思源路,中央分隔島,296393.462054,2771504.635975,2013-09-03 16:06:32.65,121.459801,25.05099438
125,新莊區,思源路,中央分隔島,296390.598059,2771504.601118,2013-09-03 16:06:32.65,121.4597727,25.05099415
126,板橋區,文化路,人行道,297019.448213,2768029.652624,2013-09-03 16:06:32.65,121.4658865,25.01960275
127,新莊區,思源路,中央分隔島,296393.073757,2771512.570531,2013-09-03 16:06:32.65,121.4597975,25.05106602
128,新莊區,思源路,中央分隔島,296390.149775,2771509.56062,2013-09-03 16:06:32.65,121.4597684,25.05103894
129,新莊區,思源路,中央分隔島,296392.884067,2771516.935023,2013-09-03 16:06:32.65,121.4597957,25.05110543
130,新莊區,思源路,中央分隔島,296390.08087,2771515.167015,2013-09-03 16:06:32.65,121.4597679,25.05108955
131,新莊區,思源路,中央分隔島,296392.452806,2771521.273575,2013-09-03 16:06:32.65,121.4597916,25.05114461
132,新莊區,思源路,中央分隔島,296389.528823,2771518.867591,2013-09-03 16:06:32.65,121.4597625,25.05112298
133,新莊區,思源路,中央分隔島,296392.789222,2771527.526861,2013-09-03 16:06:32.65,121.4597951,25.05120106
134,新莊區,思源路,中央分隔島,296390.339465,2771524.982258,2013-09-03 16:06:32.65,121.4597708,25.05117816
135,新莊區,思源路,人行道,296379.238545,2771499.477866,2013-09-03 16:06:32.65,121.4596599,25.05094824
136,新莊區,思源路,中央分隔島,296392.720318,2771499.52083,2013-09-03 16:06:32.65,121.4597935,25.05094822
137,板橋區,文化路,人行道,297005.803974,2768052.328965,2013-09-03 16:06:32.65,121.465752,25.0198079
138,新莊區,思源路,中央分隔島,296390.675881,2771496.596847,2013-09-03 16:06:32.65,121.4597732,25.05092188
139,新莊區,思源路,中央分隔島,296392.66033,2771485.556725,2013-09-03 16:06:32.65,121.4597925,25.05082215
140,新莊區,思源路,中央分隔島,296392.866234,2771481.546483,2013-09-03 16:06:32.65,121.4597944,25.05078594
